epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
96,74200,0.90692,0.45223,0.10956,0.72884,0.45911,0.52318,0.25691,0.69814,0.46031,0.09997,0.006865,0.006865,0.006865
97,74977.7,0.99843,0.43526,0.11974,0.72957,0.46155,0.5245,0.25884,0.69494,0.45998,0.09958,0.006832,0.006832,0.006832
98,75754.9,0.89151,0.45506,0.10542,0.72342,0.46028,0.5228,0.25672,0.69691,0.46014,0.09957,0.006799,0.006799,0.006799
99,76539.8,0.93332,0.44101,0.10907,0.7205,0.45838,0.52167,0.2544,0.69913,0.46059,0.09968,0.006766,0.006766,0.006766
100,77325,1.03299,0.43694,0.12537,0.72593,0.45559,0.52146,0.25462,0.69862,0.46072,0.09967,0.006733,0.006733,0.006733
101,78110.8,0.98042,0.44284,0.11242,0.72905,0.45543,0.52269,0.25526,0.69698,0.46139,0.09951,0.0067,0.0067,0.0067
102,78895.3,1.00779,0.44078,0.12094,0.73048,0.45755,0.52455,0.25693,0.69543,0.46205,0.09933,0.006667,0.006667,0.006667
103,79675.4,1.09855,0.43649,0.13387,0.7369,0.4612,0.52875,0.26082,0.68953,0.46304,0.09863,0.006634,0.006634,0.006634
104,80453.7,1.00222,0.43758,0.11667,0.73762,0.46015,0.52827,0.25902,0.69163,0.46356,0.09877,0.006601,0.006601,0.006601
105,81235.8,1.03372,0.42736,0.12199,0.73711,0.45944,0.52716,0.25778,0.69404,0.463,0.0989,0.006568,0.006568,0.006568
106,82018.9,1.03658,0.42942,0.12127,0.73991,0.45815,0.52645,0.25735,0.69561,0.46197,0.09876,0.006535,0.006535,0.006535
107,82800.8,1.08698,0.41563,0.13246,0.74017,0.46023,0.52771,0.25718,0.69696,0.46176,0.09895,0.006502,0.006502,0.006502
108,83583,0.9572,0.44221,0.11191,0.74293,0.46089,0.52881,0.25831,0.69614,0.46116,0.09916,0.006469,0.006469,0.006469
109,84365.2,1.07404,0.41746,0.12708,0.74457,0.46006,0.52795,0.25785,0.69699,0.46092,0.09916,0.006436,0.006436,0.006436
110,85146,1.01434,0.42064,0.11711,0.75355,0.45995,0.52943,0.26094,0.69372,0.4597,0.09883,0.006403,0.006403,0.006403
111,85927.7,1.13917,0.40323,0.14042,0.75685,0.45759,0.52811,0.26077,0.6954,0.45808,0.09892,0.00637,0.00637,0.00637
112,86712.2,1.134,0.39899,0.14222,0.76208,0.45663,0.52733,0.26158,0.69517,0.45626,0.09893,0.006337,0.006337,0.006337
113,87494.8,1.00886,0.42261,0.11678,0.76267,0.45577,0.52604,0.25998,0.69967,0.45547,0.09919,0.006304,0.006304,0.006304
114,88279.1,0.87787,0.44082,0.10073,0.76112,0.4544,0.52375,0.25733,0.70581,0.45345,0.09958,0.006271,0.006271,0.006271
115,89062.4,0.88446,0.43935,0.10128,0.76412,0.45546,0.52446,0.25724,0.70701,0.45245,0.09962,0.006238,0.006238,0.006238
116,89844.6,0.88275,0.43839,0.10077,0.76716,0.45413,0.52434,0.25674,0.70857,0.45124,0.09964,0.006205,0.006205,0.006205
117,90627.5,0.93726,0.42637,0.11111,0.76656,0.4558,0.52516,0.25646,0.71006,0.45024,0.09989,0.006172,0.006172,0.006172
118,91411.1,1.15269,0.38396,0.14725,0.76809,0.45478,0.52441,0.25298,0.71618,0.45006,0.10037,0.006139,0.006139,0.006139
119,92194.7,1.03958,0.40339,0.12401,0.76947,0.45392,0.52375,0.25061,0.72091,0.4493,0.10069,0.006106,0.006106,0.006106
120,92977.7,1.12962,0.38714,0.1395,0.76704,0.45303,0.52325,0.24856,0.72397,0.4493,0.10107,0.006073,0.006073,0.006073
121,93760.3,1.08086,0.40129,0.13019,0.76611,0.45493,0.52404,0.24883,0.72314,0.44998,0.10117,0.00604,0.00604,0.00604
122,94541,1.00795,0.42567,0.11848,0.7585,0.45552,0.52315,0.24633,0.72693,0.45037,0.10166,0.006007,0.006007,0.006007
123,95322.5,1.04265,0.42564,0.12376,0.75507,0.45507,0.52234,0.24553,0.72865,0.45068,0.10179,0.005974,0.005974,0.005974
124,96104.4,1.05786,0.42198,0.12489,0.7467,0.4505,0.51795,0.24067,0.73522,0.45076,0.10238,0.005941,0.005941,0.005941
125,96885.9,1.12276,0.40929,0.13576,0.74185,0.44756,0.51458,0.23736,0.74017,0.45081,0.10255,0.005908,0.005908,0.005908
126,97668.2,0.94039,0.44704,0.10666,0.73494,0.4454,0.51161,0.23303,0.7458,0.45169,0.10305,0.005875,0.005875,0.005875
127,98449.5,0.8476,0.45605,0.09594,0.72517,0.44401,0.50909,0.22971,0.74924,0.45368,0.10331,0.005842,0.005842,0.005842
128,99235.3,0.83756,0.4524,0.09718,0.71586,0.44279,0.50571,0.2261,0.75409,0.45448,0.10382,0.005809,0.005809,0.005809
129,100019,0.86203,0.44493,0.09553,0.71047,0.44168,0.50376,0.22361,0.7577,0.4544,0.10403,0.005776,0.005776,0.005776
130,100800,0.86245,0.44109,0.09655,0.70245,0.44102,0.50172,0.22054,0.76103,0.45485,0.10462,0.005743,0.005743,0.005743
131,101573,0.92441,0.43622,0.10319,0.70316,0.43838,0.50074,0.22018,0.76192,0.45473,0.10468,0.00571,0.00571,0.00571
132,102345,0.94818,0.43239,0.10674,0.71014,0.44083,0.50278,0.22387,0.75643,0.45477,0.10422,0.005677,0.005677,0.005677
133,103119,1.03961,0.43056,0.12379,0.70722,0.44038,0.50212,0.22317,0.75774,0.45449,0.10432,0.005644,0.005644,0.005644
134,103900,0.92956,0.43368,0.10378,0.71304,0.43827,0.50295,0.22368,0.75699,0.45397,0.10434,0.005611,0.005611,0.005611
135,104684,1.08744,0.39258,0.135,0.71402,0.44163,0.50505,0.22552,0.75401,0.45363,0.10421,0.005578,0.005578,0.005578
136,105468,1.04301,0.39533,0.12234,0.71802,0.44064,0.5059,0.22617,0.75357,0.45253,0.10401,0.005545,0.005545,0.005545
137,106252,1.06131,0.39623,0.12645,0.7198,0.4433,0.50716,0.22742,0.75162,0.45229,0.10384,0.005512,0.005512,0.005512
138,107035,1.13802,0.38194,0.14037,0.72352,0.44097,0.50635,0.22594,0.75415,0.45184,0.10417,0.005479,0.005479,0.005479
139,107818,1.14366,0.37832,0.14254,0.72619,0.43636,0.50363,0.22285,0.75878,0.4511,0.10464,0.005446,0.005446,0.005446
140,108600,0.94743,0.42189,0.10482,0.71837,0.43136,0.499,0.21735,0.76685,0.4509,0.1052,0.005413,0.005413,0.005413
141,109384,0.8686,0.43299,0.09769,0.7128,0.42966,0.49628,0.21521,0.76917,0.45117,0.10529,0.00538,0.00538,0.00538
142,110169,0.87023,0.43293,0.09608,0.70902,0.42721,0.49357,0.21279,0.77175,0.45163,0.10546,0.005347,0.005347,0.005347
143,110952,0.97849,0.41855,0.10695,0.71103,0.42541,0.49251,0.21172,0.77311,0.45112,0.10574,0.005314,0.005314,0.005314
144,111728,0.94488,0.42588,0.10382,0.70981,0.42538,0.49222,0.21136,0.77321,0.45111,0.1058,0.005281,0.005281,0.005281
145,112503,1.00283,0.42984,0.11139,0.71397,0.42174,0.49049,0.20942,0.77555,0.45186,0.10606,0.005248,0.005248,0.005248
146,113288,1.08363,0.41739,0.12482,0.71569,0.42494,0.49281,0.21127,0.77325,0.45179,0.1059,0.005215,0.005215,0.005215
147,114071,1.0845,0.39613,0.12779,0.70785,0.42163,0.48881,0.20703,0.77958,0.45185,0.10648,0.005182,0.005182,0.005182
148,114855,0.88445,0.43571,0.09582,0.69886,0.42333,0.48827,0.20669,0.78005,0.45196,0.10644,0.005149,0.005149,0.005149
149,115637,0.82571,0.43641,0.08773,0.69812,0.4232,0.48844,0.20657,0.77921,0.45278,0.1062,0.005116,0.005116,0.005116
